"
Что скажет пёсик? Разговор с собакой!",Визуальная новелла,,,Разработчик,Примитивная система диалогов,"Я хотел попробовать движок для новелл из ассетов. Тогда на яндексе только-только пояилась эта категория. И пока там не было конкурении можно было собрать конвейер по произодству новелл. Уже потом мы узнали, что аудитория яндекса в них не играет. Конкретно эту игру я делал, потому что дети на улице мне задавали одни и те же вопросы про собаку. Я подумал, что игра. где собака отвечает на эти вопросы, будет интересна","Unity, C#",Яндекс-игры,,2д,1,Инди,,,,,,,,
Про тебя. Психологические тесты 	,"Тесты, обучающая",,,Разработчик,Психологические тесты из книжки,"Первый мой проект на яндекс. Хотел просто попробовать площадку, поэтому решил сделать что-то очень простое. Заодно потренироваться в только появлявшихся тогда генераторах изображений (каждый вопрос сопровождался картинкой) Мне в детстве нравились такие тесты, а на яндексе их не было","Разработка. Проектирование. Консультирование других членов команды. | Unity3d, C#, Zenject, UnityIAP, Unity Ads, GitLab, YouTrack",Яндекс-игры,,2д,1,Инди,,,,,,,,
Прыг Клик / Двоечник пытается считать,"казуальная, аркада",,https://artemvinva.itch.io/prigclick,Разработчик,"Клон Doodle Jump. Но на некоторые платформы вставать нельзя. Нужно успеть посмотреть, что на них",Первый раз участвовал в джеме. Потом еще делал рескин на яндекс,"Unity, C#","Itch.io, Яндекс-игры",,2д,1,"Джем, инди",,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Autobattle Dungeon AFK RPG,"Автобаттлер, Мидкор",,https://apkpure.net/auto-battle-dungeon-afk-rpg/com.asomgames.AutobattleDungeonAFKRPG,"Разработчик, Дизайнер уровней","Клон Despots Game. Игрок перемещается между комнатами с противниками. У игрока есть отряд человечков, который автоматически пошагово на сетке сражается. Игрок может покупать новых юнитов за найденные ресурсы","Делал в найме, когда работал в Asomgames",,Google Play,,2д,4,Найм,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,
Necromancer: raise your army,"Стратегия, Мидкор",,https://apkpure.net/necromancer-raise-your-army/com.asomgames.necrosmith,Разработчик,"Клон Neсrosmith. Игрок собирает из частей тела разной стоимости иразных свойств миньонов, которые сами ходят и добывают ресурсы","Делал в найме, когда работал в Asomgames",,Google Play,,2д,3,Найм,,,,,,,,
My Cute Pony Farm: Pony Game,"Менеджмент, мидкор, симулятор",,https://apkpure.net/my-cute-pony-farm-pony-game/com.asomgames.Cuteponyfarm,Разработчик,"Игрок прокачивает лошадей, которые участвуют в скачках (без участия игрока). За скачки игрок получает ресурсы для прокачки","Делал в найме, когда работал в Asomgames",,"Google Play, AppStore","Кони, лошади, ферма, гонки",2д,3,Найм,,,,,,,,
Fruit Hills,"Аркада, казуальная",,,Разработчик,"Клон Fall Guys. Мобильный раннер. Игрок трехмерным человечком бежит до финиша, избегая препятствий, расталкивая ботов, которые бегут вместе с ним",Эту игру  делал на стажировке в Agava. Задачей было выпустить сломанную игру на яндекс. Нормальных плагинов сдк яндекса для юнити тогда не было - мы страдали,,Яндекс Игры,,3д,3,Найм,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
